SNo,Area,Percentage of renewable energy out of total installed generating capacity (including allocated shares)
1,"Target",40
2,"India",17.51
3,"Andaman & Nicobar Islands",22.77
4,"Andhra Pradesh",30.17
5,"Arunachal Pradesh",100
6,"Assam",8.29
7,"Bihar",58.19
8,"Chandigarh",100
9,"Chhattisgarh",2.93
10,"Dadra & Nagar Haveli",100
11,"Daman & Diu",100
12,"Delhi",2.21
13,"Goa",1.56
14,"Gujarat",24.09
15,"Haryana",3.95
16,"Himachal Pradesh",26.02
17,"Jammu & Kashmir",10.19
18,"Jharkhand",1.41
19,"Karnataka",40.77
20,"Kerala",13.26
21,"Lakshadweep",100
22,"Madhya Pradesh",23.47
23,"Maharashtra",22.03
24,"Manipur",13.21
25,"Meghalaya",9.92
26,"Mizoram",100
27,"Nagaland",100
28,"Odisha",2.53
29,"Puducherry",0.25
30,"Punjab",10.01
31,"Rajasthan",38.23
32,"Sikkim",8.58
33,"Tamil Nadu",49.33
34,"Telangana",16.58
35,"Tripura",11.07
36,"Uttar Pradesh",14.75
37,"Uttarakhand",16.93
38,"West Bengal",4.82
