Goal 13

AREA,"2019-20","2018"
"India","60",""
"Karnataka","71",""
"Andhra Pradesh","70",""
"Odisha","69",""
"Telangana","66",""
"Gujarat","63",""
"Himachal Pradesh","61",""
"Rajasthan","60",""
"Uttarakhand","59",""
"Punjab","57",""
"Kerala","56",""
"Nagaland","51",""
"Maharashtra","50",""
"Uttar Pradesh","48",""
"Assam","47",""
"Madhya Pradesh","47",""
"Mizoram","45",""
"Tamil Nadu","45",""
"Bihar","43",""
"Goa","41",""
"Sikkim","38",""
"Manipur","37",""
"Tripura","37",""
"West Bengal","37",""
"Meghalaya","36",""
"Haryana","34",""
"Arunachal Pradesh","31",""
"Chhattisgarh","29",""
"Jharkhand","27",""
