Goal 3

AREA,"2018"
"India","52"
"Kerala","92"
"Tamil Nadu","77"
"Telangana","73"
"Punjab","71"
"Karnataka","69"
"Andhra Pradesh","68"
"Manipur","67"
"West Bengal","66"
"Goa","65"
"Himachal Pradesh","62"
"Maharashtra","60"
"Haryana","57"
"Odisha","54"
"Jammu & Kashmir","53"
"Mizoram","53"
"Tripura","53"
"Gujarat","52"
"Meghalaya","52"
"Sikkim","52"
"Rajasthan","49"
"Chhattisgarh","42"
"Bihar","40"
"Jharkhand","40"
"Arunachal Pradesh","38"
"Madhya Pradesh","38"
"Uttarakhand","36"
"Nagaland","34"
"Assam","30"
"Uttar Pradesh","25"
