Goal 3

AREA,"2023-24","2020"
"India","77","74"
"Gujarat","90","86"
"Maharashtra","84","83"
"Uttarakhand","84","77"
"Himachal Pradesh","83","78"
"Karnataka","80","78"
"Kerala","80","72"
"Goa","79","72"
"Punjab","79","77"
"Tripura","79","67"
"West Bengal","79","76"
"Andhra Pradesh","78","77"
"Jharkhand","77","74"
"Tamil Nadu","77","81"
"Manipur","75","68"
"Haryana","73","72"
"Odisha","73","67"
"Rajasthan","73","70"
"Telangana","73","67"
"Meghalaya","71","70"
"Arunachal Pradesh","70","64"
"Mizoram","69","79"
"Bihar","67","66"
"Sikkim","66","62"
"Nagaland","63","61"
"Uttar Pradesh","61","60"
"Assam","60","59"
"Chhattisgarh","56","60"
"Madhya Pradesh","56","62"
