SNo,Area,Under-five Mortality Rate (per 1000 live births),Total case notification rate of tuberculosis,Women in the age group of 15-49 years using modern methods of family planning,Number of governmental physicians nurses and midwives,Children aged 12-23 months fully immunized (BCG Measles and three doses of Pentavalent vaccine),Maternal Mortality Ratio (per 100000 live births)
1,"Target",11,0,100,549.96,100,70
2,"India",50,138.33,53.5,220.96,62,130
3,"Andaman & Nicobar Islands",13,76,50.8,16.43,73.2,"-"
4,"Andhra Pradesh",41,161,69.5,405.49,65.3,74
5,"Arunachal Pradesh",33,203,31.7,126.81,38.2,"-"
6,"Assam",57,119,52.4,146.38,47.1,237
7,"Bihar",58,82,24.1,19.74,61.7,165
8,"Chandigarh","-",523,74,10.45,79.5,"-"
9,"Chhattisgarh",64,145,57.7,83.98,76.4,173
10,"Dadra & Nagar Haveli",42,225,38.1,30.28,43.2,"-"
11,"Daman & Diu",34,151,32.3,21.85,66.3,"-"
12,"Delhi",47,360,53,343.82,66.4,"-"
13,"Goa",13,128,26.3,42.32,88.4,"-"
14,"Gujarat",43,224,46.9,228.86,50.4,91
15,"Haryana",41,145,63.7,204.98,62.2,101
16,"Himachal Pradesh",38,226,57,434.2,69.5,"-"
17,"Jammu & Kashmir",38,74,57.3,29.8,75.1,"-"
18,"Jharkhand",54,118,40.4,28.04,61.9,165
19,"Karnataka",32,123,51.8,452.93,62.6,108
20,"Kerala",7,67,53.1,762.13,82.1,46
21,"Lakshadweep",23,70,29.3,41.86,86.9,"-"
22,"Madhya Pradesh",65,167,51.4,208.53,53.6,173
23,"Maharashtra",29,159,64.8,148.41,56.3,61
24,"Manipur",26,94,23.6,344.39,65.9,"-"
25,"Meghalaya",40,116,24.3,191.63,61.5,"-"
26,"Mizoram",46,186,35.3,434.82,50.5,"-"
27,"Nagaland",37,148,26.7,19.12,35.7,"-"
28,"Odisha",49,159,57.3,316.42,78.6,180
29,"Puducherry",16,114,61.9,51.97,91.3,"-"
30,"Punjab",33,153,75.8,357.76,89.1,122
31,"Rajasthan",51,139,59.7,426.24,54.8,199
32,"Sikkim",32,197,46.7,37.24,83,"-"
33,"Tamil Nadu",27,119,53.2,426.04,69.7,66
34,"Telangana",32,107,57.2,"-",68.1,81
35,"Tripura",33,44,64.1,143.15,54.5,"-"
36,"Uttar Pradesh",78,140,45.5,53.37,51.1,201
37,"Uttarakhand",47,151,53.4,43.51,57.7,201
38,"West Bengal",32,100,70.9,141.49,84.4,101
