State,Year,SDG3_Health,SDG4_Education,SDG13_Climate,Composite_Score
Andhra Pradesh,2018,68.0,52.0,70.0,63.3
Andhra Pradesh,2019,76.0,52.0,70.0,66.0
Andhra Pradesh,2020,77.0,50.0,70.0,65.7
Andhra Pradesh,2021,77.3,50.7,70.0,66.0
Andhra Pradesh,2022,77.7,51.3,70.0,66.3
Andhra Pradesh,2023,78.0,52.0,70.0,66.7
Arunachal Pradesh,2018,38.0,58.0,10.0,35.3
Arunachal Pradesh,2019,50.0,58.0,31.0,46.3
Arunachal Pradesh,2020,64.0,41.0,61.0,55.3
Arunachal Pradesh,2021,66.0,44.7,61.0,57.2
Arunachal Pradesh,2022,68.0,48.3,61.0,59.1
Arunachal Pradesh,2023,70.0,52.0,61.0,61.0
Assam,2018,30.0,44.0,37.4,37.1
Assam,2019,44.0,44.0,47.0,45.0
Assam,2020,59.0,43.0,59.0,53.7
Assam,2021,59.3,42.3,59.0,53.5
Assam,2022,59.7,41.7,59.0,53.5
Assam,2023,60.0,41.0,59.0,53.3
Bihar,2018,40.0,19.0,50.2,36.4
Bihar,2019,44.0,19.0,43.0,35.3
Bihar,2020,66.0,29.0,34.0,43.0
Bihar,2021,66.3,30.0,34.0,43.4
Bihar,2022,66.7,31.0,34.0,43.9
Bihar,2023,67.0,32.0,34.0,44.3
Chhattisgarh,2018,42.0,52.0,14.6,36.2
Chhattisgarh,2019,52.0,52.0,29.0,44.3
Chhattisgarh,2020,60.0,55.0,47.0,54.0
Chhattisgarh,2021,58.7,57.7,47.0,54.5
Chhattisgarh,2022,57.3,60.3,47.0,54.9
Chhattisgarh,2023,56.0,63.0,47.0,55.3
Goa,2018,65.0,71.0,30.6,55.5
Goa,2019,60.0,71.0,41.0,57.3
Goa,2020,72.0,71.0,54.0,65.7
Goa,2021,74.3,71.3,54.0,66.5
Goa,2022,76.7,71.7,54.0,67.5
Goa,2023,79.0,72.0,54.0,68.3
Gujarat,2018,52.0,47.0,54.2,51.1
Gujarat,2019,67.0,47.0,63.0,59.0
Gujarat,2020,86.0,52.0,74.0,70.7
Gujarat,2021,87.3,54.0,74.0,71.8
Gujarat,2022,88.7,56.0,74.0,72.9
Gujarat,2023,90.0,58.0,74.0,74.0
Haryana,2018,57.0,68.0,13.2,46.1
Haryana,2019,65.0,68.0,34.0,55.7
Haryana,2020,72.0,64.0,60.0,65.3
Haryana,2021,72.3,68.3,60.0,66.9
Haryana,2022,72.7,72.7,60.0,68.5
Haryana,2023,73.0,77.0,60.0,70.0
Himachal Pradesh,2018,62.0,81.0,60.2,67.7
Himachal Pradesh,2019,67.0,81.0,61.0,69.7
Himachal Pradesh,2020,78.0,74.0,62.0,71.3
Himachal Pradesh,2021,79.7,75.0,62.0,72.2
Himachal Pradesh,2022,81.3,76.0,62.0,73.1
Himachal Pradesh,2023,83.0,77.0,62.0,74.0
Jharkhand,2018,40.0,42.0,24.6,35.5
Jharkhand,2019,55.0,42.0,27.0,41.3
Jharkhand,2020,74.0,45.0,30.0,49.7
Jharkhand,2021,75.0,50.3,30.0,51.8
Jharkhand,2022,76.0,55.7,30.0,53.9
Jharkhand,2023,77.0,61.0,30.0,56.0
Karnataka,2018,69.0,67.0,69.4,68.5
Karnataka,2019,72.0,67.0,71.0,70.0
Karnataka,2020,78.0,64.0,73.0,71.7
Karnataka,2021,78.7,63.7,73.0,71.8
Karnataka,2022,79.3,63.3,73.0,71.9
Karnataka,2023,80.0,63.0,73.0,72.0
Kerala,2018,92.0,74.0,36.8,67.6
Kerala,2019,82.0,74.0,56.0,70.7
Kerala,2020,72.0,80.0,80.0,77.3
Kerala,2021,74.7,80.7,80.0,78.5
Kerala,2022,77.3,81.3,80.0,79.5
Kerala,2023,80.0,82.0,80.0,80.7
Madhya Pradesh,2018,38.0,54.0,34.2,42.1
Madhya Pradesh,2019,50.0,54.0,47.0,50.3
Madhya Pradesh,2020,62.0,45.0,63.0,56.7
Madhya Pradesh,2021,60.0,46.3,63.0,56.4
Madhya Pradesh,2022,58.0,47.7,63.0,56.2
Madhya Pradesh,2023,56.0,49.0,63.0,56.0
Maharashtra,2018,60.0,65.0,31.6,52.2
Maharashtra,2019,76.0,65.0,50.0,63.7
Maharashtra,2020,83.0,64.0,73.0,73.3
Maharashtra,2021,83.3,65.0,73.0,73.8
Maharashtra,2022,83.7,66.0,73.0,74.2
Maharashtra,2023,84.0,67.0,73.0,74.7
Manipur,2018,67.0,70.0,10.0,49.0
Manipur,2019,62.0,70.0,37.0,56.3
Manipur,2020,68.0,63.0,71.0,67.3
Manipur,2021,70.3,63.7,71.0,68.3
Manipur,2022,72.7,64.3,71.0,69.3
Manipur,2023,75.0,65.0,71.0,70.3
Meghalaya,2018,52.0,55.0,10.0,39.0
Meghalaya,2019,53.0,55.0,36.0,48.0
Meghalaya,2020,70.0,48.0,80.0,66.0
Meghalaya,2021,70.3,45.3,80.0,65.2
Meghalaya,2022,70.7,42.7,80.0,64.5
Meghalaya,2023,71.0,40.0,80.0,63.7
Mizoram,2018,53.0,61.0,17.8,43.9
Mizoram,2019,52.0,61.0,45.0,52.7
Mizoram,2020,79.0,60.0,79.0,72.7
Mizoram,2021,75.7,61.7,79.0,72.1
Mizoram,2022,72.3,63.3,79.0,71.5
Mizoram,2023,69.0,65.0,79.0,71.0
Nagaland,2018,34.0,47.0,28.6,36.5
Nagaland,2019,29.0,47.0,51.0,42.3
Nagaland,2020,61.0,39.0,79.0,59.7
Nagaland,2021,61.7,41.3,79.0,60.7
Nagaland,2022,62.3,43.7,79.0,61.7
Nagaland,2023,63.0,46.0,79.0,62.7
Odisha,2018,54.0,40.0,73.0,55.7
