State,Year,SDG,Forecast_Score,CI_Lower_95,CI_Upper_95,Annual_Growth_Rate,Trend
Andhra Pradesh,2024,SDG3_Health,81.2,71.0,91.4,1.58,Improving
Andhra Pradesh,2025,SDG3_Health,82.8,71.4,94.2,1.58,Improving
Andhra Pradesh,2026,SDG3_Health,84.4,71.6,97.1,1.58,Improving
Andhra Pradesh,2024,SDG4_Education,51.2,47.7,54.7,-0.04,Stagnant
Andhra Pradesh,2025,SDG4_Education,51.2,47.2,55.1,-0.04,Stagnant
Andhra Pradesh,2026,SDG4_Education,51.1,46.7,55.5,-0.04,Stagnant
Andhra Pradesh,2024,SDG13_Climate,70.0,70.0,70.0,0.0,Stagnant
Andhra Pradesh,2025,SDG13_Climate,70.0,70.0,70.0,0.0,Stagnant
Andhra Pradesh,2026,SDG13_Climate,70.0,70.0,70.0,0.0,Stagnant
Arunachal Pradesh,2024,SDG3_Health,80.9,59.2,100.0,6.17,Improving
Arunachal Pradesh,2025,SDG3_Health,87.1,62.9,100.0,6.17,Improving
Arunachal Pradesh,2026,SDG3_Health,93.3,66.3,100.0,6.17,Improving
Arunachal Pradesh,2024,SDG4_Education,44.8,18.0,71.6,-1.58,Declining
Arunachal Pradesh,2025,SDG4_Education,43.2,13.3,73.1,-1.58,Declining
Arunachal Pradesh,2026,SDG4_Education,41.6,8.3,75.0,-1.58,Declining
Arunachal Pradesh,2024,SDG13_Climate,82.0,31.6,100.0,9.86,Improving
Arunachal Pradesh,2025,SDG13_Climate,91.9,35.6,100.0,9.86,Improving
Arunachal Pradesh,2026,SDG13_Climate,100.0,38.9,100.0,9.86,Improving
Assam,2024,SDG3_Health,71.7,43.8,99.7,5.64,Improving
Assam,2025,SDG3_Health,77.4,46.2,100.0,5.64,Improving
Assam,2026,SDG3_Health,83.0,48.2,100.0,5.64,Improving
Assam,2024,SDG4_Education,40.4,39.5,41.3,-0.65,Declining
Assam,2025,SDG4_Education,39.8,38.8,40.7,-0.65,Declining
Assam,2026,SDG4_Education,39.1,38.0,40.2,-0.65,Declining
Assam,2024,SDG13_Climate,67.8,46.5,89.1,4.11,Improving
Assam,2025,SDG13_Climate,71.9,48.1,95.7,4.11,Improving
Assam,2026,SDG13_Climate,76.0,49.5,100.0,4.11,Improving
Bihar,2024,SDG3_Health,78.7,50.7,100.0,5.81,Improving
Bihar,2025,SDG3_Health,84.5,53.2,100.0,5.81,Improving
Bihar,2026,SDG3_Health,90.3,55.4,100.0,5.81,Improving
Bihar,2024,SDG4_Education,36.9,26.0,47.7,2.91,Improving
Bihar,2025,SDG4_Education,39.8,27.7,51.9,2.91,Improving
Bihar,2026,SDG4_Education,42.7,29.2,56.2,2.91,Improving
Bihar,2024,SDG13_Climate,27.4,11.4,43.4,-3.09,Declining
Bihar,2025,SDG13_Climate,24.3,6.5,42.1,-3.09,Declining
Bihar,2026,SDG13_Climate,21.2,1.3,41.1,-3.09,Declining
Chhattisgarh,2024,SDG3_Health,62.8,42.2,83.4,2.42,Improving
Chhattisgarh,2025,SDG3_Health,65.2,42.2,88.2,2.42,Improving
Chhattisgarh,2026,SDG3_Health,67.6,42.0,93.3,2.42,Improving
Chhattisgarh,2024,SDG4_Education,64.9,61.5,68.3,2.36,Improving
Chhattisgarh,2025,SDG4_Education,67.3,63.5,71.1,2.36,Improving
Chhattisgarh,2026,SDG4_Education,69.6,65.4,73.9,2.36,Improving
Chhattisgarh,2024,SDG13_Climate,60.2,28.2,92.2,6.17,Improving
Chhattisgarh,2025,SDG13_Climate,66.4,30.7,100.0,6.17,Improving
Chhattisgarh,2026,SDG13_Climate,72.5,32.7,100.0,6.17,Improving
Goa,2024,SDG3_Health,83.4,69.8,97.0,3.5,Improving
Goa,2025,SDG3_Health,86.9,71.8,100.0,3.5,Improving
Goa,2026,SDG3_Health,90.4,73.5,100.0,3.5,Improving
Goa,2024,SDG4_Education,72.1,71.4,72.8,0.21,Stagnant
Goa,2025,SDG4_Education,72.3,71.5,73.1,0.21,Stagnant
Goa,2026,SDG4_Education,72.5,71.6,73.4,0.21,Stagnant
Goa,2024,SDG13_Climate,63.5,40.5,86.6,4.46,Improving
Goa,2025,SDG13_Climate,68.0,42.2,93.7,4.46,Improving
